data.source	file.snps	sample.id	ref.genome	data.type	out.folder	is.tumor
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115153-B-1.snps	01115153-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115153-TA2.snps	01115153-TA2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115154-B-1.snps	01115154-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115154-TA3.snps	01115154-TA3	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115156-B-1.snps	01115156-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115156-TA3.snps	01115156-TA3	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115157-TA2.snps	01115157-TA2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115161-B-1.snps	01115161-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115161-TA1.snps	01115161-TA1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115183-B-1.snps	01115183-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115183-TA2.snps	01115183-TA2	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115202-B-1.snps	01115202-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115202-TA1.snps	01115202-TA1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115244-B-1.snps	01115244-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/01115244-TA4.snps	01115244-TA4	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115114-B-1.snps	06115114-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115114-T.snps	06115114-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115115-B-1.snps	06115115-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115115-T.snps	06115115-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115117-B-1.snps	06115117-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115117-T.snps	06115117-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115118-B-1.snps	06115118-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115118-T.snps	06115118-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115121-B-1.snps	06115121-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115121-T.snps	06115121-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115122-B-1.snps	06115122-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115122-T.snps	06115122-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115123-B-1.snps	06115123-B-1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/06115123-T.snps	06115123-T	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115219-N-B1.snps	6115219-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115219-T-C1.snps	6115219-T-C1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115224-N-B1.snps	6115224-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115224-T-C1.snps	6115224-T-C1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115227-N-B1.snps	6115227-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115227-T-C1.snps	6115227-T-C1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115233-N-B1.snps	6115233-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115233-T-C1.snps	6115233-T-C1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115234-N-B1.snps	6115234-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115234-T-A1.snps	6115234-T-A1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115237-N-B1.snps	6115237-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115237-T-A1.snps	6115237-T-A1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	1
SU2C	/BCGLAB/2020_signatures/pileup/SU2C/6115242-N-B1.snps	6115242-N-B1	GRCh37	DNA	/BCGLAB/2020_signatures/input_data/SU2C	0
